"","res1_squared"
"290",0.2511131126456
"291",0.291921153419312
"292",0.739488648651237
"293",0.212808518974064
"294",0.710328548625056
"295",0.561518873395443
"296",0.586744164870017
"297",0.339353486963122
"298",0.599402020353072
"299",0.281811015489554
"300",0.510857796185317
"301",0.254009299549914
"302",0.342412931700639
"303",0.365538097742327
"304",0.547887499167526
"305",0.620304459536787
"306",0.307183857937218
"307",0.445601177963103
"308",0.540714255548721
"309",0.421994087061732
"310",0.295061488801317
"311",0.272359841612949
"312",0.27977582108947
"313",0.474582162937291
"314",0.622064345001423
"315",0.705855068043505
"316",0.198092939899981
"317",0.274781502375158
"318",0.423315413698658
"319",0.292922202975864
"320",0.564063773081315
"321",0.306542258285774
"322",0.542664355563704
"323",0.384373975419504
"324",0.85367243104304
"325",0.581822501189766
"326",0.641805746732845
"327",0.53910669742867
"328",0.447754649435462
"329",0.641888543915137
"330",0.405384675257739
"331",0.9933780101164
"332",0.247369560587334
"333",0.222720646526948
"334",0.13608853816284
"335",0.536470008539943
"336",0.276388777801215
"337",0.675203122096558
"338",0.429298239833723
"339",0.385923736802519
"340",0.192219806539756
"341",0.546342723576582
"342",0.49448178569155
"343",0.18946914760257
"344",0.245868508019134
"345",0.352824767332886
"346",0.194121172608332
"347",0.561155611646819
"348",0.365318120678195
"349",0.239980014328382
"350",0.497409650829009
"351",0.453428933567664
"352",0.61633296187942
"353",0.294880232783275
"354",0.518488857350487
"355",0.143215278873259
"356",0.351729545503052
"357",0.166652007733667
"358",0.518530179072368
"359",0.475165813902095
"360",0.240827248382825
"361",0.45672353792385
"362",0.183493402771221
"363",0.506330741307581
"364",0.253729440384339
"365",0.278937173087612
"366",0.439740864764742
"367",0.257546752189966
"368",0.421374270561767
"369",0.169644135957946
"370",0.240605570369213
"371",0.525956799778936
"372",0.377995245003904
"373",0.802122410137227
"374",0.515130274303926
"375",0.254252606873992
"376",0.537391253806097
"377",0.175622664989328
"378",0.709312525983956
"379",0.45977346096879
"380",0.428999148458134
"381",0.49525872031166
"382",0.131532954532953
"383",0.426565110280158
"384",0.56090963353567
"385",0.458528772711962
"386",0.608995710766987
"387",0.839370957807342
"388",0.176647717100979
"389",0.249919640201254
"390",0.465535232667537
"391",0.508491034891353
"392",0.367951540352588
"393",0.494497756175874
"394",0.517987858891364
"395",0.328050867648053
"396",0.632883749672474
"397",0.492107150029932
"398",0.270920924042201
"399",0.208199666107796
"400",0.257979311345615
"401",0.624120627346113
"402",0.406849503996687
"403",0.45199360278061
"404",0.6016580157983
"405",0.571790063420369
"406",0.240899357002773
"407",0.289947729875034
"408",0.557895221296344
"409",0.449666802875768
"410",0.286704142717089
"411",0.526017316438683
"412",0.610656856945069
"413",0.265894545269607
"414",0.356453134118876
"415",0.517858830958942
"416",0.554135102524817
"417",0.190890402043863
"418",0.236689594693517
"419",0.0951170397426221
"420",0.658829907123351
"421",0.218863124946955
"422",0.62348776674092
"423",0.174973736511308
"424",0.612388603493035
"425",0.586869137892333
"426",0.639718810176781
"427",0.569562370346563
"428",0.549374744022468
"429",0.49702720793697
"430",0.38367995266013
"431",0.248482686891919
"432",0.743959066823919
"433",0.537086091930151
"434",0.293748030751668
"435",0.516505736918471
"436",0.681173004775785
"437",0.337682930072613
"438",0.300651679972033
"439",0.616063028654181
"440",0.429789374143066
"441",0.320511190674959
"442",0.547605376822759
"443",0.160336522057908
"444",0.518756520229506
"445",0.448432148821407
"446",0.541472416323547
"447",0.3891123748682
"448",0.361181164153044
"449",0.769959751339443
"450",0.398452396321088
"451",0.643270732666663
"452",0.311879112615932
"453",0.132392786134093
"454",0.350282620835928
"455",0.829707928941872
"456",0.53971997110476
"457",0.596159162649029
"458",0.572282035359168
"459",0.264935476366693
"460",0.338053218084962
"461",0.402105383091536
"462",0.910558493518994
"463",0.186769308199438
"464",0.510162617391704
"465",0.587645198728338
"466",0.218059605618109
"467",0.590624130101781
"468",0.589791845104026
"469",0.292760874756725
"470",0.450557825847959
"471",0.759858347441419
"472",0.434342379606302
"473",0.220014025146314
"474",0.572467331972482
"475",0.484911614820885
"476",0.163049469151612
"477",0.52891104318278
"478",0.57424548029861
"479",0.463199804956358
"480",0.245672138267764
"481",0.221459329315437
"482",0.51366799061271
"483",0.506951415126026
"484",0.259979107810418
"485",0.203444053829393
"486",0.257542866076474
"487",0.43643657515267
"488",0.246155532160662
"489",0.263492767684758
"490",0.495171108250098
"491",0.497537380244662
"492",0.541373619806731
"493",0.529821643810575
"494",0.742180301582026
"495",0.553171552894207
"496",0.651259801101088
"497",0.125115432919448
"498",0.761495679554096
"499",0.199347408138866
"500",0.532991589394566
"501",0.266432509964102
"502",0.455528819775705
"503",0.440527165635436
"504",0.215227129837566
"505",0.250475448922474
"506",0.384964596656649
"507",0.329355719815093
"508",0.378640104033352
"509",0.172523738515132
"510",0.215685931807862
"511",0.669916269109218
"512",0.327115201109784
"513",0.330601451629153
"514",0.24274012655763
"515",0.670588270178822
"516",0.40456593902545
"517",0.281775465030373
"518",0.248704058765
"519",0.627845722420169
"520",0.567794417890709
"521",0.852089274421927
"522",0.867876568869057
"523",0.520698370126663
"524",0.307932906090501
"525",0.347384922960225
"526",0.3140842132789
"527",0.244557082413217
"528",0.294186613572676
"529",0.218486040558949
"530",0.854987197807632
"531",0.43829432888647
"532",0.682256762070635
"533",0.632906989484093
"534",0.245484222763303
"535",0.672302430176276
"536",0.564997909994244
"537",0.503021236833105
"538",0.497761171624647
"539",0.59903305600994
"540",0.408688826410042
"541",0.259934327405079
"542",0.46673896787653
"543",0.259293174990518
"544",0.475700756075813
